ISBN	Title	Author	Rating	R Count	Score
9780312532888	Dog Blood	David Moody	3.79	2324	2.0
9781439213308	My Best Friends Have Hairy Legs	Cierra Rantoul	2.94	105	1.47
9780984382200	Barefoot Running: How to Run Light and Free by Getting in Touch With the Earth	Michael Sandler; Jessica Lee	3.56	147	2.51
9780060929800	Native son	Richard Wright	3.9	48318	2.28
0060929782	Black Boy	Richard Wright	3.96	25877	2.38
9781572434516	Ernie Harwell: My 60 Years in Baseball	Tom Keegan; Ernie Harwell	3.75	24	2.2
9780446585033	Seriously... I'm Kidding	Ellen DeGeneres	3.72	49038	1.66
9780316027670	An exact replica of a figment of my imagination: a memoir	Elizabeth McCracken	4.08	3032	1.98
9780618620111	How We Decide	Jonah Lehrer	3.81	21346	2.56
9780547394282	Proust Was a Neuroscientist	Jonah Lehrer	3.84	4721	3.03
9781742203256	China	Damian Harper	3.75	358	3.81
9780440419327	The Convicts: The Curse of the Jolly Stone Trilogy	Iain Lawrence	3.59	311	1.94
0805074422	Freethinkers: A History of American Secularism	Susan Jacoby	4.09	2197	3.23
0375423745	The Age of American Unreason	Susan Jacoby	3.8	1733	3.25
9780345527158	Homefront: The Voice of Freedom	John; Benson Milius	3.55	148	2.04
9780671469924	This Hallowed Ground	Bruce Catton	4.31	409	2.96
9780061779244	Chump Change: A Novel	Dan Fante	3.92	563	1.91
9780061779220	86'd: A Novel	Dan Fante	3.71	319	2.18
9781841950693	Mooch	Dan Fante	4.02	309	1.99
9781841951904	Spitting off tall buildings	Dan Fante	3.76	250	1.87
0470372966	CompTIA Security+ Deluxe Study Guide: SY0-201	Emmett Dulaney	3.36	25	2.94
9781903889268	Doctor Who: Companion Piece	Mike Tucker; Robert Perry	2.9	10	1.79
9781570618161	Good Drinks for Bad Days	Kerry Colburn	3.14	7	1.56
9781849892100	Debt Collectors, CCJs, IVAs and Bankruptcy	GA; P	0	0	1.18
9780375982842	Duck & Goose Find a Pumpkin	Tad Hills	4.03	350	0.67
9780307885364	Demonic	Ann Coulter	3.94	1290	2.96
9780061930058	Little Princes: One Man's Promise to Bring Home the Lost Children of Nepal	Conor Grennan	0	0	1.91
9780786939626	Ghostwalker	Erik Scott De Bie	3.75	350	2.1
9780786956746	Depths of Madness	Erik Scott De Bie	3.54	153	2.25
9780563555971	Doctor Who: Prime Time	Mike Tucker	3.23	48	1.92
9780563405702	Doctor Who: Illegal Alien	Mike Tucker; Robert Perry	3.68	97	2.16
9780563486503	Doctor Who: The Nightmare of Black Island	Mike Tucker	3.76	1180	1.83
9780563555773	Doctor Who: Storm Harvest	Mike Tucker; Robert Perry	3.23	60	2.05
9780060559793	The family: the secret fundamentalism at the heart of American power	Jeff Sharlet	3.75	1827	3.04
9780143115809	The Book of Murder	Guillermo Martinez; Sonia Soto	3.31	579	1.84
9780575101845	The Broken Sword	Poul Anderson	0	0	2.47
9780805093292	Stories I Only Tell My Friends: An Autobiography	Rob Lowe	3.72	31323	2.45
9780802144669	The Ginger Man	J. P. Donleavy; Jay McInerney	3.68	5392	2.37
9780871132659	A Singular Man	J. P. Donleavy	3.85	352	2.56
9780307278357	Remainder	Tom McCarthy	3.58	3194	2.32
9781742203935	Arizona, New Mexico & the Grand Canyon Trips	Aaron Anderson	3.71	14	2.78
9780425229712	Laid Bare	Lauren Dane	3.95	8755	1.98
9780425236888	Inside Out	Lauren Dane	4.11	4640	1.94
9780425232705	Coming Undone	Lauren Dane	4.21	6026	1.89
0679456724	Catherine the Great: Portrait of a Woman	Robert K. Massie	3.95	32586	3.09
9780061351563	Loco Motive: A Bed-and-Breakfast Mystery	Mary Daheim	3.44	243	2.16
9780060566500	Dead Man Docking	Mary Daheim	3.63	326	2.3
9780307959751	Back to Work	Bill Clinton	3.7	2034	2.14
9780061771224	The Myth of Mental Illness	Thomas S. Szasz	3.73	406	3.33
9781416551652	Death of a Dissident	Marina Litvinenko Alex Goldfarb	3.93	177	2.44
9780141919850	The Voyage Out	Virginia Woolf	0	0	2.7
9780156030359	Mrs. Dalloway	Virginia Woolf	3.76	94568	2.58
9780141904108	Mrs Dalloway	Virginia Woolf	0	0	2.58
9788420655253	Orlando	Virginia Woolf; Mark Hussey	3.83	24578	3.17
9780553105469	In High Places	Arthur Hailey	3.48	856	2.77
9780805089127	The calligrapher's daughter: a novel	Eugenia Kim	3.75	3313	2.66
9780226329123	Evicted From Eternity: The Restructuring of Modern Rome	Michael Herzfeld	3.09	11	3.59
9780446198059	Naamah's Curse	Jacqueline Carey	4.11	6040	2.63
9780312872403	Kushiel's Avatar	Jacqueline Carey	4.39	19435	3.06
9780765342980	Kushiel's Dart	Jacqueline Carey	4.09	36440	3.16
9780446500029	Kushiel's Scion	Jacqueline Carey	4.17	12660	2.99
9780446610148	Kushiel's Justice	Jacqueline Carey	4.23	10954	2.87
9780446198035	Naamah's Kiss	Jacqueline Carey	4.08	8196	2.66
0446500046	Kushiel's Mercy	Jacqueline Carey	4.29	10273	2.68
9780312872397	Kushiel's Chosen	Jacqueline Carey	4.31	22101	3.06
9780446576055	Naamah's Blessing	Jacqueline Carey	4.17	5151	2.7
9781439195260	Lonesome Dove	Larry McMurtry	4.44	82514	2.75
9781590175125	Ice Trilogy	Vladimir Sorokin; Jamey Gambrell	3.44	319	2.8
9780141941714	Alphabet Weekends	Elizabeth Noble	0	0	2.39
9780061644788	Things I Want My Daughters to Know: A Novel	Elizabeth Noble	3.64	3994	2.43
9789810592257	Singapore Sling Shot	Andrew Grant	2.75	8	2.13
9781400076260	Man Walks Into a Room	Nicole Krauss	3.29	4164	2.35
9780393079982	Great House: A Novel	Nicole Krauss	3.41	11366	2.28
0385527063	Confession of a Buddhist Atheist	Stephen Batchelor	3.95	1201	2.77
9780385739030	Amos Daragon: The Mask Wearer	Bryan Perro; Y. Maudet	3.64	477	1.53
9780307548191	Toussaint Louverture	Madison Smartt Bell	3.48	73	2.73
9781455132126	Sweetness: The Enigmatic Life of Walter Payton	Jeff Pearlman	3.87	604	2.85
9781742203591	Middle East	Anthony Ham	4.0	48	3.72
9780300108125	Proust in Love	William C. Carter	3.78	45	2.79
0814714706	The Proustian Quest	William C. Carter; Jeffrey Lange	4.0	9	3.19
9780345505873	The Better to Hold You	Alisa Sheckley	2.98	291	2.3
9780345505880	Moonburn	Alisa Sheckley	3.12	136	2.42
9780743420976	Boogeymen	Mel Gilden	3.4	560	1.73
0575081406	The Name of the Wind	Patrick Rothfuss	4.55	193533	2.77
9780756404734	The Wise Man's Fear	Patrick Rothfuss	4.55	130159	3.03
9780312380892	The Book of Spies	Gayle Lynds	3.5	843	2.37
9780778323426	The Kommandant's Girl	Pam Jenoff	3.91	6162	1.97
9780425238103	Atlantis Betrayed	Alyssa Day	4.28	1764	1.95
9780425231975	Inked	Karen Chance; Marjorie M. Liu; Yasmine Galenorn; Eileen Wilks	3.95	3925	2.31
9781588364456	No God but God	Reza Aslan	4.14	7348	2.95
9780061689321	The Notorious Scoundrel	Alexandra Benedict	3.27	118	2.54
9781426886478	Expecting His Baby	Sandra Field	3.02	42	2.04
9780345532879	A Victorian Flower Dictionary	Mandy Kirkby	4.09	206	2.97
9780307929136	Fodor's Walt Disney World with Kids 2012	Fodor's	3.77	160	2.4
0307928608	Fodor's London 2012	Fodor's	3.65	93	3.18
9780679009306	Fodor's New York City 2012	Fodor's	3.88	114	3.39
9781400008261	Fodor's the Complete Guide to the National Parks of the West	Fodor's	4.4	10	2.3
9781400005604	Yosemite, Sequoia & Kings Canyon	Fodor's	5.0	1	2.22
9780307928580	Fodor's Normandy, Brittany & the Best of the North	Fodor's	4.0	2	3.14
9780764208164	In Every Heartbeat	Kim Vogel Sawyer	3.77	409	2.16
9781903889220	Doctor Who: Frayed	Tara Samms	3.07	45	1.92
9780345511812	A Nose for Justice	Rita Mae Brown	3.31	550	2.14
9780060554637	More Bitter Than Death: An Emma Fielding Mystery	Dana Cameron	3.68	125	2.29
9780060554620	A Fugitive Truth: An Emma Fielding Mystery	Dana Cameron	3.69	143	2.45
9780060554675	Ashes and Bones: An Emma Fielding Mystery	Dana Cameron	3.46	133	2.12
9780380819560	Past Malice: An Emma Fielding Mystery	Dana Cameron	3.6	166	2.19
9780670022434	Aunt Dimity and the Family Tree	Nancy Atherton	3.91	1136	2.41
9780141042329	A Beginner's Guide to Reality	Jim Baggott	0	0	2.39
9781416543435	Kalooki Nights	Howard Jacobson	3.4	337	3.5
9780143170655	The Act of Love	Howard Jacobson	3.29	149	3.17
9781408808870	The Finkler Questione	Howard Jacobson	2.74	8417	2.91
9781400043095	Kevin Guilfoile	The Thousand (v5)	2.93	495	2.48
9780615506135	The Dark Side of Disney	Leonard Kinsey	3.13	753	1.97
9780307486264	Independent People	Halldor Laxness	4.18	3359	3.14
0151011354	Please Don't Come Back from the Moon	Dean Bakopoulos	3.62	691	1.87
9780786927951	The Sorcerer	Troy Denning	3.95	504	2.05
9780345509185	Abyss	Troy Denning	3.82	3382	2.11
